Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    
batchverify_tweak_checks_9884      ,     7.91      ,     7.94      ,     8.01   
batchverify_tweak_checks_11861     ,     7.88      ,     7.93      ,     8.00   
batchverify_tweak_checks_14234     ,     7.86      ,     7.87      ,     7.88   
batchverify_tweak_checks_17081     ,     7.90      ,     7.91      ,     7.92   
batchverify_tweak_checks_20498     ,     7.92      ,     7.93      ,     7.94   
batchverify_tweak_checks_24598     ,     7.90      ,     7.92      ,     7.94   
batchverify_tweak_checks_29518     ,     7.88      ,     7.93      ,     7.96   
batchverify_tweak_checks_35422     ,     7.91      ,     7.92      ,     7.93   
batchverify_tweak_checks_42507     ,     7.90      ,     7.91      ,     7.93   
batchverify_tweak_checks_51009     ,     7.90      ,     7.91      ,     7.92   
batchverify_tweak_checks_61211     ,     7.90      ,     7.92      ,     7.95   
batchverify_tweak_checks_73454     ,     7.91      ,     7.95      ,     7.98   
batchverify_tweak_checks_88145     ,     7.91      ,     7.95      ,     8.02   
batchverify_tweak_checks_105775    ,     7.99      ,     8.04      ,     8.08   
batchverify_tweak_checks_126931    ,     7.88      ,     7.96      ,     8.03   
batchverify_tweak_checks_152318    ,     7.92      ,     7.96      ,     7.99   
batchverify_tweak_checks_182782    ,     7.94      ,     7.95      ,     7.96   
batchverify_tweak_checks_219339    ,     7.96      ,     8.04      ,     8.10   
batchverify_tweak_checks_263207    ,     7.94      ,     7.97      ,     8.00   
batchverify_tweak_checks_315849    ,     7.91      ,     7.93      ,     7.95   
batchverify_tweak_checks_379019    ,     7.87      ,     7.89      ,     7.92   
batchverify_tweak_checks_454823    ,     7.81      ,     7.88      ,     7.92   
